"TC ID";"Module";"Risk Level";"Test Scenario";"Pre-Condition";"Test Steps";"Test Data (Payload / Input)";"Expected Result";"Priority"
"FPT_SURVEY_TC_001";"Customer Info API";"High";"Đăng ký thành công với thông tin tối thiểu (Chỉ nhập SĐT)";"Có Bearer Token hợp lệ";"1. Gửi POST request tới API với dữ liệu chỉ có SĐT.";"{""phone"":""0981234567"", ""address"":"""", ""is_internet"":""0""}";"API trả về HTTP 200. Log DB ghi nhận phone, không address, is_internet=0.";"High"
"FPT_SURVEY_TC_002";"Customer Info API";"High";"Đăng ký thành công với tất cả các trường (Happy Path)";"Có Bearer Token hợp lệ";"1. Gửi POST request tới API với đầy đủ SĐT, địa chỉ và chọn Internet.";"{""phone"":""0565123454"", ""address"":""Số 10 Phạm Văn Đồng"", ""is_internet"":""1""}";"API trả về HTTP 200. Log DB lưu đủ cả 3 trường.";"High"
"FPT_SURVEY_TC_003";"Customer Info API";"High";"API vẫn trả status 200 khi để trống trường Số điện thoại";"Có Bearer Token hợp lệ";"1. Gửi POST request nhưng để phone rỗng.";"{""phone"":"""", ""address"":"""", ""is_internet"":""0""}";"API trả về HTTP 200.";"High"
"FPT_SURVEY_TC_004";"Customer Info API";"Medium";"API vẫn trả status 200 khi Số điện thoại có ít hơn 10 số";"Có Bearer Token hợp lệ";"1. Gửi POST request với SĐT có độ dài 9 số.";"{""phone"":""098123456"", ""address"":"""", ""is_internet"":""0""}";"API trả về HTTP 200.";"High"
"FPT_SURVEY_TC_005";"Customer Info API";"Medium";"API vẫn trả status 200 khi cụm đầu số của SĐT không hợp lệ tại VN";"Có Bearer Token hợp lệ";"1. Gửi POST request với 10 ký tự số nhưng đầu số ảo.";"{""phone"":""0123456789"", ""address"":"""", ""is_internet"":""0""}";"API trả về HTTP 200.";"Medium"
"FPT_SURVEY_TC_006";"Customer Info API";"Medium";"API báo lỗi khi Số điện thoại chứa ký tự chữ/đặc biệt (Bypass FE)";"Có Bearer Token hợp lệ";"1. Bypass Frontend, gửi request trực tiếp qua Postman với chứa ký tự đặc biệt.";"{""phone"":""098123!@##"", ""address"":"""", ""is_internet"":""0""}";"API trả về HTTP 400. Message: ""Số điện thoại không hợp lệ"". Data không bị đẩy vào DB.";"High"
"FPT_SURVEY_TC_007";"Customer Info API";"Low";"API xử lý thành công khi Address có chuỗi cực kỳ dài";"Có Bearer Token hợp lệ";"1. Tạo chuỗi payload field address chứa 5000 ký tự 'A'. 2. Gửi POST request.";"{""phone"":""0981234567"", ""address"":""[5000 ký tự 'A']"", ""is_internet"":""0""}";"API trả về HTTP 200, insert data thành công / hoặc truncate tự động mà không bị crash hệ thống (HTTP 500).";"Medium"
"FPT_SURVEY_TC_008";"Customer Info API";"Low";"API xử lý an toàn (Security Check) khi nhập script tags vào trường Address";"Có Bearer Token hợp lệ";"1. Gửi POST request với address chứa thẻ script (XSS).";"{""phone"":""0981234567"", ""address"":""<script>alert('hack')</script>"", ""is_internet"":""0""}";"API trả về HTTP 200 (nếu cho phép text free) nhưng sanitize loại bỏ thẻ script lúc lưu, HOẶC trả về HTTP 400 chặn chuỗi độc hại.";"High"
"FPT_SURVEY_TC_009";"Customer Info API";"Low";"API xử lý an toàn khi truyền giá trị lạ vào is_internet";"Có Bearer Token hợp lệ";"1. Gửi POST request với is_internet không phải ""0"" hoặc ""1"".";"{""phone"":""0981234567"", ""address"":"""", ""is_internet"":""2""}";"API trả về lỗi HTTP 400 do sai định dạng (Enum/Boolean) HOẶC tự động fallback về giá trị mặc định ""0"".";"Low"
"FPT_SURVEY_TC_010";"Customer Info API";"High";"Không thể gọi API khi thiếu hoặc sai Auth Token";"KHÔNG CÓ Bearer Token / Token hết hạn";"1. Xóa header Authorization và truyền body hợp lệ.";"Headers: Không có authorization. Body: {""phone"":""0565123454"",...}";"API trả quyền HTTP 401 Unauthorized block request.";"High"
